time	V(out)
Step Information: Cx=10f  (Run: 1/11)
1.772372917680762e-004	2.978063e+000
1.774160203886780e-004	2.975195e+000
1.775256203016663e-004	2.973775e+000
1.775903708985636e-004	2.973353e+000
1.776416993835952e-004	2.973426e+000
1.776848475338527e-004	2.973833e+000
1.777236882013146e-004	2.974501e+000
1.777620366314281e-004	2.975404e+000
1.778053846780282e-004	2.976570e+000
1.778368768204604e-004	2.977405e+000
1.778692258317147e-004	2.978145e+000
1.779063646139311e-004	2.978790e+000
1.779458553288426e-004	2.979238e+000
1.779867549435338e-004	2.979504e+000
1.780051501653198e-004	2.979565e+000
1.780304112540980e-004	2.979593e+000
1.780505468242431e-004	2.979591e+000
1.780755036175810e-004	2.979573e+000
1.781057151172439e-004	2.979540e+000
1.781453603490320e-004	2.979494e+000
1.782831705221980e-004	2.979422e+000
1.783789682250694e-004	2.979422e+000
1.786801468415302e-004	2.979437e+000
1.791573492285353e-004	2.979440e+000
1.795505603234557e-004	2.979442e+000
1.803369825132965e-004	2.979445e+000
1.818039857791936e-004	2.979451e+000
1.833698286102853e-004	2.979457e+000
1.854114553181886e-004	2.979461e+000
1.871843792507394e-004	2.979463e+000
1.884279838459190e-004	2.979464e+000
1.892687199940557e-004	2.979464e+000
1.901771872744109e-004	2.979464e+000
1.913646700345606e-004	2.979464e+000
1.928013044489020e-004	2.979463e+000
1.941081765793273e-004	2.979462e+000
1.952069350748480e-004	2.979461e+000
1.960720405347981e-004	2.979460e+000
1.973731780837013e-004	2.979459e+000
1.994377874283791e-004	2.979457e+000
1.998492478301341e-004	2.979464e+000
1.999690589638596e-004	2.979616e+000
1.999932129815256e-004	2.979822e+000
2.000048289582992e-004	2.979973e+000
2.000085689238052e-004	2.979996e+000
2.000107549932923e-004	2.980000e+000
2.000129566099900e-004	2.980006e+000
2.000152998056348e-004	2.980012e+000
2.000199861969244e-004	2.980020e+000
2.000293589795036e-004	2.980027e+000
2.000406395926659e-004	2.980020e+000
2.000542611137371e-004	2.979993e+000
2.000693781649329e-004	2.979946e+000
2.000854372732615e-004	2.979882e+000
2.001016995139184e-004	2.979812e+000
2.001172543469987e-004	2.979746e+000
2.001345486238124e-004	2.979680e+000
2.001740477025892e-004	2.979563e+000
2.002101581555794e-004	2.979496e+000
2.002641875062693e-004	2.979447e+000
2.003110487977676e-004	2.979438e+000
2.003600948422448e-004	2.979443e+000
2.005315367763780e-004	2.979463e+000
2.014060147109405e-004	2.979462e+000
2.023065011432544e-004	2.979460e+000
2.035071497196730e-004	2.979458e+000
2.059084468725102e-004	2.979455e+000
2.099084468725102e-004	2.979452e+000
2.139084468725102e-004	2.979450e+000
2.173879857606174e-004	2.979450e+000
2.211378314119987e-004	2.979450e+000
2.226634396410241e-004	2.979451e+000
